,#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Unnamed: 15
10,11,CVE-2016-4716,264.0,,Priv,9/25/2016,7/29/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,diskutil in DiskArbitration in Apple OS X before 10.12 allows local users to gain privileges via unspecified vectors.
11,12,CVE-2016-4678,476.0,,DoS +Priv,2/20/2017,7/28/2017,4.6,None,Local,Low,Not required,Partial,Partial,Partial,"An issue was discovered in certain Apple products. macOS before 10.12.1 is affected. The issue involves the ""AppleSMC"" component. It allows local users to gain privileges or cause a denial of service (NULL pointer dereference) via unspecified vectors."
12,13,CVE-2016-4674,119.0,,DoS Overflow +Priv Mem. Corr.,2/20/2017,7/28/2017,4.6,None,Local,Low,Not required,Partial,Partial,Partial,"An issue was discovered in certain Apple products. macOS before 10.12.1 is affected. The issue involves the ""ATS"" component. It allows local users to gain privileges or cause a denial of service (memory corruption and application crash) via unspecified vectors."
13,14,CVE-2016-4653,119.0,,DoS Overflow +Priv Mem. Corr.,7/21/2016,11/28/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9.3.3, OS X before 10.11.6, tvOS before 9.2.2, and watchOS before 2.2.2 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-1863 and CVE-2016-4582."
14,15,CVE-2016-4652,125.0,,DoS +Priv +Info,7/21/2016,8/31/2017,3.3,None,Local,Medium,Not required,Partial,None,Partial,"CoreGraphics in Apple OS X before 10.11.6 allows local users to obtain sensitive information from kernel memory and consequently gain privileges, or cause a denial of service (out-of-bounds read), via unspecified vectors."
15,16,CVE-2016-4647,119.0,,DoS Overflow +Priv Mem. Corr.,7/21/2016,8/31/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Audio in Apple OS X before 10.11.6 allows local users to gain privileges or cause a denial of service (memory corruption) via a crafted file.
16,17,CVE-2016-4638,264.0,,Priv,7/21/2016,8/31/2017,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Login Window in Apple OS X before 10.11.6 allows attackers to gain privileges via a crafted app that leverages a ""type confusion."""
17,18,CVE-2016-4634,119.0,,DoS Overflow +Priv Mem. Corr.,7/21/2016,8/31/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The Graphics Drivers subsystem in Apple OS X before 10.11.6 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
18,19,CVE-2016-4626,476.0,,DoS +Priv,7/21/2016,8/31/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOHIDFamily in Apple iOS before 9.3.3, OS X before 10.11.6, tvOS before 9.2.2, and watchOS before 2.2.2 allows local users to gain privileges or cause a denial of service (NULL pointer dereference) via unspecified vectors."
19,20,CVE-2016-4625,416.0,,Priv,7/21/2016,9/2/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Use-after-free vulnerability in IOSurface in Apple OS X before 10.11.6 allows local users to gain privileges via unspecified vectors.
20,21,CVE-2016-4582,119.0,,DoS Overflow +Priv Mem. Corr.,7/21/2016,8/31/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9.3.3, OS X before 10.11.6, tvOS before 9.2.2, and watchOS before 2.2.2 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-1863 and CVE-2016-4653."
21,22,CVE-2016-1863,119.0,,DoS Overflow +Priv Mem. Corr.,7/21/2016,9/2/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9.3.3, OS X before 10.11.6, tvOS before 9.2.2, and watchOS before 2.2.2 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-4582 and CVE-2016-4653."
22,23,CVE-2016-1832,119.0,,DoS Overflow +Priv Mem. Corr.,5/20/2016,11/29/2017,4.6,None,Local,Low,Not required,Partial,Partial,Partial,"libc in Apple iOS before 9.3.2, OS X before 10.11.5, tvOS before 9.2.1, and watchOS before 2.2.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
23,24,CVE-2016-1722,119.0,,DoS Overflow +Priv Mem. Corr.,2/1/2016,9/9/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"syslog in Apple iOS before 9.2.1, OS X before 10.11.3, and tvOS before 9.1.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
24,25,CVE-2016-1721,119.0,,DoS Overflow +Priv Mem. Corr.,2/1/2016,9/9/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9.2.1, OS X before 10.11.3, and tvOS before 9.1.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
25,26,CVE-2016-1720,119.0,,DoS Overflow +Priv Mem. Corr.,2/1/2016,9/9/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOKit in Apple iOS before 9.2.1, OS X before 10.11.3, and tvOS before 9.1.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
26,27,CVE-2016-1719,119.0,,DoS Overflow +Priv Mem. Corr.,2/1/2016,9/9/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The IOHIDFamily API in Apple iOS before 9.2.1, OS X before 10.11.3, and tvOS before 9.1.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
27,28,CVE-2016-1718,119.0,,DoS Overflow +Priv Mem. Corr.,2/1/2016,9/9/2017,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,The IOAcceleratorFamily2 interface in IOAcceleratorFamily in Apple OS X before 10.11.3 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
28,29,CVE-2016-1717,119.0,,DoS Overflow +Priv Mem. Corr.,2/1/2016,9/9/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The Disk Images component in Apple iOS before 9.2.1, OS X before 10.11.3, and tvOS before 9.1.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
29,30,CVE-2016-1716,119.0,,DoS Overflow +Priv Mem. Corr.,2/1/2016,9/9/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,AppleGraphicsPowerManagement in Apple OS X before 10.11.3 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
30,31,CVE-2015-7110,119.0,,DoS Overflow +Priv Mem. Corr.,12/11/2015,9/12/2017,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,The Disk Images component in Apple OS X before 10.11.2 and tvOS before 9.1 allows local users to gain privileges or cause a denial of service (memory corruption) via a crafted disk image.
31,32,CVE-2015-7108,119.0,,DoS Overflow +Priv Mem. Corr.,12/11/2015,9/12/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,The Bluetooth HCI interface in Apple OS X before 10.11.2 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
32,33,CVE-2015-7106,119.0,,DoS Overflow +Priv Mem. Corr.,12/11/2015,9/12/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,The Intel Graphics Driver component in Apple OS X before 10.11.2 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
33,34,CVE-2015-7084,119.0,,DoS Overflow +Priv Mem. Corr.,12/11/2015,9/12/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9.2, OS X before 10.11.2, tvOS before 9.1, and watchOS before 2.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-7083."
34,35,CVE-2015-7083,119.0,,DoS Overflow +Priv Mem. Corr.,12/11/2015,9/12/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9.2, OS X before 10.11.2, tvOS before 9.1, and watchOS before 2.1 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-7084."
35,36,CVE-2015-7078,,,Priv,12/11/2015,9/12/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Use-after-free vulnerability in Hypervisor in Apple OS X before 10.11.2 allows local users to gain privileges via vectors involving VM objects.
36,37,CVE-2015-7077,119.0,,DoS Overflow +Priv,12/11/2015,9/12/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The Intel Graphics Driver component in Apple OS X before 10.11.2 allows local users to gain privileges or cause a denial of service (out-of-bounds memory access) via unspecified vectors.
37,38,CVE-2015-7076,,,DoS +Priv,12/11/2015,9/12/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The Intel Graphics Driver component in Apple OS X before 10.11.2 allows local users to gain privileges or cause a denial of service (NULL pointer dereference) via unspecified vectors.
38,39,CVE-2015-7063,264.0,,Priv,12/11/2015,9/12/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,The kernel loader in EFI in Apple OS X before 10.11.2 allows local users to gain privileges via a crafted pathname.
39,40,CVE-2015-7052,264.0,,Priv,12/11/2015,9/12/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"kext tools in Apple OS X before 10.11.2 mishandles kernel-extension loading, which allows local users to gain privileges via unspecified vectors."
40,41,CVE-2015-7047,20.0,,Priv,12/11/2015,9/12/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9.2, OS X before 10.11.2, tvOS before 9.1, and watchOS before 2.1 allows local users to gain privileges via a crafted mach message that is misparsed."
41,42,CVE-2015-7024,,,Priv,1/11/2016,1/11/2016,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,Untrusted search path vulnerability in Apple OS X before 10.11.1 allows local users to bypass intended Gatekeeper restrictions and gain privileges via a Trojan horse program that is loaded from an unexpected directory by an application that has a valid Apple digital signature.
42,43,CVE-2015-7021,119.0,,DoS Overflow +Priv Mem. Corr.,10/23/2015,10/26/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The Graphics Drivers subsystem in Apple OS X before 10.11.1 allows local users to gain privileges or cause a denial of service (kernel memory corruption) via unspecified vectors.
43,44,CVE-2015-7016,264.0,,Priv,10/23/2015,10/26/2015,7.6,None,Remote,High,Not required,Complete,Complete,Complete,"The MCX Application Restrictions component in Apple OS X before 10.11.1, when Managed Configuration is enabled, mishandles provisioning profiles, which allows attackers to bypass intended entitlement restrictions and gain privileges via a crafted developer-signed app."
44,45,CVE-2015-6980,264.0,,Priv,1/11/2016,1/11/2016,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Directory Utility in Apple OS X before 10.11.1 mishandles authentication for new sessions, which allows local users to gain privileges via unspecified vectors."
45,46,CVE-2015-5945,20.0,,Priv,10/23/2015,10/26/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The Sandbox subsystem in Apple OS X before 10.11.1 allows local users to gain privileges via vectors involving NVRAM parameters.
46,47,CVE-2015-5932,,,Priv,10/23/2015,10/26/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple OS X before 10.11.1 allows local users to gain privileges by leveraging an unspecified ""type confusion"" during Mach task processing."
47,48,CVE-2015-5903,119.0,,DoS Overflow +Priv Mem. Corr.,9/18/2015,12/21/2016,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5868 and CVE-2015-5896."
48,49,CVE-2015-5899,119.0,,DoS Overflow +Priv Mem. Corr.,9/18/2015,12/21/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,libpthread in the kernel in Apple iOS before 9 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
49,50,CVE-2015-5897,264.0,,Priv,10/9/2015,12/7/2016,4.6,None,Local,Low,Not required,Partial,Partial,Partial,The Address Book framework in Apple OS X before 10.11 allows local users to gain privileges by using an environment variable to inject code into processes that rely on this framework.
50,51,CVE-2015-5896,119.0,,DoS Overflow +Priv Mem. Corr.,9/18/2015,12/21/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5868 and CVE-2015-5903."
51,52,CVE-2015-5891,119.0,,DoS Overflow +Priv Mem. Corr.,10/9/2015,12/7/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The SMB implementation in the kernel in Apple OS X before 10.11 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
52,53,CVE-2015-5890,119.0,,DoS Overflow +Priv Mem. Corr.,10/9/2015,12/7/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOGraphics in Apple OS X before 10.11 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5871, CVE-2015-5872, and CVE-2015-5873."
53,54,CVE-2015-5877,119.0,,DoS Overflow +Priv Mem. Corr.,10/9/2015,12/9/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The Intel Graphics Driver component in Apple OS X before 10.11 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5830."
54,55,CVE-2015-5873,119.0,,DoS Overflow +Priv Mem. Corr.,10/9/2015,12/9/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOGraphics in Apple OS X before 10.11 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5871, CVE-2015-5872, and CVE-2015-5890."
55,56,CVE-2015-5872,119.0,,DoS Overflow +Priv Mem. Corr.,10/9/2015,12/9/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOGraphics in Apple OS X before 10.11 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5871, CVE-2015-5873, and CVE-2015-5890."
56,57,CVE-2015-5871,119.0,,DoS Overflow +Priv Mem. Corr.,10/9/2015,12/9/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOGraphics in Apple OS X before 10.11 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5872, CVE-2015-5873, and CVE-2015-5890."
57,58,CVE-2015-5868,119.0,,DoS Overflow +Priv Mem. Corr.,9/18/2015,12/21/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple iOS before 9 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5896 and CVE-2015-5903."
58,59,CVE-2015-5847,119.0,,DoS Overflow +Priv Mem. Corr.,9/18/2015,12/21/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The Disk Images component in Apple iOS before 9 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
59,60,CVE-2015-5830,119.0,,DoS Overflow +Priv Mem. Corr.,10/9/2015,12/9/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The Intel Graphics Driver component in Apple OS X before 10.11 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5877."
60,61,CVE-2015-5774,119.0,,Overflow +Priv,8/16/2015,12/23/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Buffer overflow in IOHIDFamily in Apple iOS before 8.4.1 and OS X before 10.10.5 allows local users to gain privileges via unspecified vectors.
61,62,CVE-2015-5763,119.0,,DoS Overflow +Priv Mem. Corr.,8/16/2015,9/20/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,ntfs in Apple OS X before 10.10.5 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors.
62,63,CVE-2015-3800,119.0,,DoS Overflow +Priv Mem. Corr.,8/16/2015,12/23/2016,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The DiskImages component in Apple iOS before 8.4.1 and OS X before 10.10.5 allows local users to gain privileges or cause a denial of service (memory corruption and application crash) via a malformed DMG image.
63,64,CVE-2015-3777,119.0,,Overflow +Priv,8/16/2015,9/20/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Multiple buffer overflows in blued in the Bluetooth subsystem in Apple OS X before 10.10.5 allow local users to gain privileges via XPC messages.
64,65,CVE-2015-3772,119.0,,DoS Overflow +Priv Mem. Corr.,8/16/2015,9/20/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOFireWireFamily in Apple OS X before 10.10.5 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-3769 and CVE-2015-3771."
65,66,CVE-2015-3771,119.0,,DoS Overflow +Priv Mem. Corr.,8/16/2015,9/20/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOFireWireFamily in Apple OS X before 10.10.5 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-3769 and CVE-2015-3772."
66,67,CVE-2015-3769,119.0,,DoS Overflow +Priv Mem. Corr.,8/16/2015,9/20/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"IOFireWireFamily in Apple OS X before 10.10.5 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-3771 and CVE-2015-3772."
67,68,CVE-2015-3767,264.0,,DoS +Priv Mem. Corr.,8/16/2015,9/20/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,udf in Apple OS X before 10.10.5 allows local users to gain privileges or cause a denial of service (memory corruption and application crash) via a malformed DMG image.
68,69,CVE-2015-3761,264.0,,Priv,8/16/2015,9/20/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple OS X before 10.10.5 does not properly validate pathnames in the environment, which allows local users to gain privileges via unspecified vectors."
69,70,CVE-2015-3760,20.0,,Priv,8/16/2015,9/20/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"dyld in Apple OS X before 10.10.5 does not properly validate pathnames in the environment, which allows local users to gain privileges via unspecified vectors."
70,71,CVE-2015-3702,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3695, CVE-2015-3696, CVE-2015-3697, CVE-2015-3698, CVE-2015-3699, CVE-2015-3700, and CVE-2015-3701."
71,72,CVE-2015-3701,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3695, CVE-2015-3696, CVE-2015-3697, CVE-2015-3698, CVE-2015-3699, CVE-2015-3700, and CVE-2015-3702."
72,73,CVE-2015-3700,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3695, CVE-2015-3696, CVE-2015-3697, CVE-2015-3698, CVE-2015-3699, CVE-2015-3701, and CVE-2015-3702."
73,74,CVE-2015-3699,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3695, CVE-2015-3696, CVE-2015-3697, CVE-2015-3698, CVE-2015-3700, CVE-2015-3701, and CVE-2015-3702."
74,75,CVE-2015-3698,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3695, CVE-2015-3696, CVE-2015-3697, CVE-2015-3699, CVE-2015-3700, CVE-2015-3701, and CVE-2015-3702."
75,76,CVE-2015-3697,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3695, CVE-2015-3696, CVE-2015-3698, CVE-2015-3699, CVE-2015-3700, CVE-2015-3701, and CVE-2015-3702."
76,77,CVE-2015-3696,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3695, CVE-2015-3697, CVE-2015-3698, CVE-2015-3699, CVE-2015-3700, CVE-2015-3701, and CVE-2015-3702."
77,78,CVE-2015-3695,119.0,,Overflow +Priv,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the Intel Graphics Driver in Apple OS X before 10.10.4 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-3696, CVE-2015-3697, CVE-2015-3698, CVE-2015-3699, CVE-2015-3700, CVE-2015-3701, and CVE-2015-3702."
78,79,CVE-2015-3693,254.0,,DoS +Priv Mem. Corr.,7/2/2015,12/5/2016,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Apple Mac EFI before 2015-001, as used in OS X before 10.10.4 and other products, does not properly set refresh rates for DDR3 RAM, which might make it easier for remote attackers to conduct row-hammer attacks, and consequently gain privileges or cause a denial of service (memory corruption), by triggering certain patterns of access to memory locations."
79,80,CVE-2015-3678,77.0,,DoS +Priv Mem. Corr.,7/2/2015,9/21/2017,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,AppleThunderboltEDMService in Apple OS X before 10.10.4 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified Thunderbolt commands.
80,81,CVE-2015-1211,264.0,,Priv,2/6/2015,9/7/2017,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"The OriginCanAccessServiceWorkers function in content/browser/service_worker/service_worker_dispatcher_host.cc in Google Chrome before 40.0.2214.111 on Windows, OS X, and Linux and before 40.0.2214.109 on Android does not properly restrict the URI scheme during a ServiceWorker registration, which allows remote attackers to gain privileges via a filesystem: URI."
81,82,CVE-2015-1144,119.0,,Overflow +Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Buffer overflow in the UniformTypeIdentifiers component in Apple OS X before 10.10.3 allows local users to gain privileges via a crafted Uniform Type Identifier.
82,83,CVE-2015-1143,,,Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"LaunchServices in Apple OS X before 10.10.3 allows local users to gain privileges via a crafted localized string, related to a ""type confusion"" issue."
83,84,CVE-2015-1140,119.0,,Overflow +Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Buffer overflow in IOHIDFamily in Apple OS X before 10.10.3 allows local users to gain privileges via unspecified vectors.
84,85,CVE-2015-1137,,,DoS +Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The NVIDIA graphics driver in Apple OS X before 10.10.3 allows local users to gain privileges or cause a denial of service (NULL pointer dereference) via an unspecified IOService userclient type.
85,86,CVE-2015-1135,20.0,,Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"fontd in Apple Type Services (ATS) in Apple OS X before 10.10.3 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-1131, CVE-2015-1132, CVE-2015-1133, and CVE-2015-1134."
86,87,CVE-2015-1134,20.0,,Priv,4/10/2015,9/17/2015,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"fontd in Apple Type Services (ATS) in Apple OS X before 10.10.3 allows local users to gain privileges via unspecified vectors, a different vulnerability than CVE-2015-1131, CVE-2015-1132, CVE-2015-1133, and CVE-2015-1135."
